fg_pct_home,fg3_pct_home,ft_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pf_home
0.473,0.478,0.708,10.0,32.0,20.0,5.0,2.0,12.0,25.0
0.468,0.5,0.684,11.0,34.0,23.0,11.0,4.0,16.0,25.0
0.494,0.341,0.69,9.0,29.0,23.0,9.0,9.0,14.0,23.0
0.447,0.389,0.714,11.0,29.0,22.0,9.0,3.0,8.0,19.0
0.419,0.333,0.722,12.0,38.0,15.0,5.0,6.0,19.0,22.0
0.369,0.25,0.875,21.0,37.0,12.0,8.0,9.0,21.0,23.0
0.449,0.37,0.75,12.0,26.0,18.0,8.0,4.0,16.0,17.0
0.381,0.333,0.56,13.0,36.0,21.0,11.0,2.0,16.0,16.0
0.392,0.353,0.556,10.0,21.0,20.0,10.0,0.0,12.0,18.0
0.47,0.167,0.704,12.0,31.0,11.0,9.0,4.0,13.0,24.0
0.433,0.294,0.867,12.0,25.0,24.0,11.0,4.0,14.0,18.0
0.407,0.318,0.737,14.0,33.0,21.0,5.0,4.0,19.0,16.0
0.443,0.188,0.667,13.0,44.0,17.0,8.0,4.0,9.0,11.0
0.459,0.2,0.538,7.0,33.0,16.0,8.0,4.0,7.0,21.0
0.488,0.375,0.72,13.0,34.0,24.0,10.0,6.0,21.0,18.0
0.526,0.5,0.75,7.0,42.0,32.0,9.0,5.0,17.0,22.0
0.469,0.35,0.8,9.0,36.0,23.0,7.0,5.0,20.0,29.0
0.489,0.321,0.821,17.0,27.0,20.0,8.0,12.0,14.0,19.0
0.5,0.25,0.6,10.0,30.0,21.0,6.0,7.0,10.0,21.0
0.527,0.462,0.769,10.0,27.0,25.0,9.0,5.0,16.0,19.0
0.462,0.314,0.824,14.0,26.0,26.0,9.0,2.0,7.0,17.0
0.566,0.273,0.684,12.0,33.0,25.0,6.0,5.0,14.0,17.0
0.456,0.359,0.583,11.0,23.0,27.0,12.0,3.0,15.0,17.0
0.444,0.25,0.724,11.0,34.0,16.0,6.0,9.0,11.0,20.0
0.429,0.273,0.8,10.0,35.0,19.0,10.0,7.0,18.0,25.0
0.427,0.294,0.909,8.0,23.0,22.0,11.0,3.0,11.0,14.0
0.55,0.5,0.824,8.0,25.0,22.0,7.0,3.0,13.0,10.0
0.412,0.344,0.7,13.0,27.0,19.0,6.0,6.0,14.0,22.0
0.396,0.235,0.789,19.0,35.0,15.0,7.0,6.0,9.0,27.0
0.529,0.417,0.808,10.0,35.0,30.0,4.0,0.0,10.0,16.0
0.338,0.273,0.65,8.0,33.0,13.0,12.0,2.0,15.0,22.0
