,NAME,TEAM,POS,AGE,GP,MPG,MP%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,Year
7167,Daishen Nix,Min,G,23.2,3,4.4,,19.3,76.6,2,0.5,0,0,1,0,0.266,0.3,1.3,,1,,0,0,6.6,2024
7168,Jonathan Kuminga,Gol,F,22.5,47,24.3,,27.3,11.1,235,0.668,417,0.508,151,0.305,0.535,15.3,4.6,,2.2,,0.8,0.4,8.8,2024
7169,Naji Marshall,Dal,F,27.2,69,27.8,,20,13.6,160,0.813,494,0.611,218,0.275,0.584,13.2,4.8,,3,,1,0.2,8.3,2024
7170,KJ Martin,Phi,F,24.3,24,20,,11.2,10.8,29,0.828,78,0.679,21,0.381,0.689,6.4,3,,0.8,,0.5,0.7,5,2024
7171,KJ Martin,Uta,F,24.3,19,22.7,,11.8,10.5,18,0.722,65,0.662,37,0.189,0.546,6.3,2.8,,1.5,,0.3,0.3,5.3,2024
7172,Sam Merrill,Cle,G,28.9,71,19.7,,14.3,7.6,29,0.966,56,0.625,368,0.372,0.583,7.2,2.2,,1.5,,0.7,0.2,5.8,2024
7173,Trevelin Queen,Orl,G,28.1,31,13.9,,18.1,13,21,0.857,70,0.486,77,0.286,0.486,4.9,1.7,,1.2,,1,0.3,6.2,2024
7174,Ayo Dosunmu,Chi,G,25.2,46,30.3,,16.6,13.3,79,0.785,260,0.612,189,0.328,0.585,12.3,3.5,,4.5,,0.9,0.4,7.6,2024
7175,Vit Krejci,Atl,G,24.8,57,20.2,,12.9,14.6,45,0.711,86,0.64,206,0.437,0.661,7.2,2.7,,2.6,,0.6,0.5,7.3,2024
7176,Jae'Sean Tate,Hou,F,29.5,52,11.3,,13.3,12.9,47,0.681,102,0.529,46,0.348,0.557,3.6,2.3,,0.9,,0.5,0.1,6.9,2024
7177,Anthony Gill,Was,F,32.5,51,7.8,,12.7,10.2,50,0.66,57,0.579,31,0.323,0.586,2.5,1.3,,0.3,,0.2,0,5.1,2024
7178,Kylor Kelley,Dal,C,27.6,8,8.3,,10.7,7,6,0.667,13,0.769,0,0,0.767,3,2.6,,0.3,,0,0.3,6.4,2024
7179,Jeff Dowtin Jr.,Phi,G,27.9,41,15.1,,18.6,6.1,45,0.733,160,0.525,70,0.4,0.57,7,1.5,,1.9,,0.6,0.3,7.2,2024
7180,Pat Spencer,Gol,G,28.8,39,6.4,,21.2,15.1,15,0.733,79,0.456,22,0.227,0.455,2.5,1.2,,1.2,,0.4,0.1,9.6,2024
7181,Brandon Williams,Dal,G,25.4,33,14.8,,22.6,17.2,66,0.833,128,0.578,60,0.4,0.634,8.3,1.8,,2.3,,0.7,0.2,8.8,2024
7182,Lindy Waters III,Gol,F,27.7,38,17.2,,14.6,7.6,11,0.727,57,0.474,148,0.331,0.498,5.5,2.6,,1.1,,0.6,0.3,5.8,2024
7183,Lindy Waters III,Det,F,27.7,14,8.8,,16.1,6.4,0,0,6,0.167,38,0.395,0.534,3.4,1,,0.7,,0.4,0.1,6.1,2024
7184,Matt Ryan,Nyk,F,28,19,3.6,,22.4,8.7,2,1,12,0.333,19,0.316,0.439,1.5,0.4,,0.2,,0.1,0,5.5,2024
7185,Jeremiah Robinson-Earl,Nor,F,24.4,66,18.8,,14.4,12.8,55,0.836,183,0.557,164,0.341,0.563,6.3,4.8,,1.3,,0.6,0.1,7.2,2024
7186,Brandon Boston Jr.,Nor,G,23.4,42,23.6,,20,12,85,0.788,241,0.485,140,0.35,0.535,10.7,3.2,,2.2,,1.3,0.2,7.2,2024
7187,Josh Christopher,Mia,G,23.3,14,5,,25.4,16.1,6,0.667,20,0.45,11,0.182,0.416,2,0.6,,0.6,,0.4,0.2,7.2,2024
7188,Herbert Jones,Nor,F,26.5,20,32.4,,14.6,16.9,40,0.825,100,0.53,72,0.306,0.541,10.3,3.9,,3.3,,1.9,0.5,6.3,2024
7189,Trey Murphy III,Nor,F,24.8,53,35,,23.7,10.9,230,0.887,401,0.556,438,0.361,0.598,21.2,5.1,,3.5,,1.1,0.7,8.3,2024
7190,Jaden Springer,Bos,G,22.6,26,5.4,,14.7,10.4,21,0.714,15,0.4,19,0.316,0.52,1.7,0.9,,0.4,,0.5,0,6.3,2024
7191,Jaden Springer,Uta,G,22.6,17,13.2,,14,17.6,17,0.706,27,0.63,29,0.207,0.504,3.8,2,,1.4,,0.7,0.2,6.7,2024
7192,Franz Wagner,Orl,F,23.6,60,33.7,,31,10.6,311,0.871,809,0.535,352,0.295,0.558,24.2,5.7,,4.7,,1.3,0.4,10.3,2024
7193,Ziaire Williams,Bro,F,23.6,63,24.5,,18.2,11.4,123,0.821,218,0.509,302,0.341,0.55,10,4.6,,1.3,,1,0.4,6.4,2024
7194,Ochai Agbaji,Tor,G,25,64,27.2,,14.6,9.2,48,0.708,281,0.587,253,0.399,0.601,10.4,3.8,,1.5,,0.9,0.5,5.7,2024
7195,Chris Duarte,Chi,G,27.8,17,4.4,,17.1,3.7,8,0.75,11,0.545,15,0.4,0.61,2.1,1.2,,0.5,,0,0,9.8,2024
7196,Bones Hyland,Lac,G,24.6,20,11.1,,29.4,17.3,26,0.885,34,0.412,80,0.388,0.574,7.2,1.2,,1.4,,0.9,0.2,8.3,2024
7197,Kai Jones,Lac,C-F,24.2,28,7.4,,10.8,21.6,12,0.75,34,0.765,2,0,0.739,2.2,1.6,,0.4,,0.2,0.4,6.1,2024
7198,Miles McBride,Nyk,G,24.6,64,24.9,,16.8,7,64,0.813,235,0.455,312,0.369,0.531,9.5,2.5,,2.9,,1,0.3,6.6,2024
7199,Moses Moody,Gol,G,22.9,74,22.3,,17.4,8.7,133,0.797,231,0.519,337,0.374,0.578,9.8,2.6,,1.3,,0.8,0.4,5.8,2024
7200,Isaiah Jackson,Ind,F,23.3,5,16.8,,17.6,17.7,14,0.5,23,0.609,0,0,0.6,7,5.6,,1,,0.6,1.6,8.1,2024
7201,Tre Mann,Cha,G,24.2,13,24.5,,26,13.4,21,0.905,101,0.455,60,0.4,0.537,14.1,2.9,,3,,0.5,0.3,8.1,2024
7202,Terrence Shannon Jr.,Min,G-F,24.7,32,10.6,,17.7,11.6,21,0.81,83,0.53,31,0.355,0.56,4.3,1.5,,1,,0.2,0.2,7,2024
7203,Johnny Juzang,Uta,G,24.1,64,19.8,,17.6,7,53,0.849,161,0.534,314,0.376,0.573,8.9,2.9,,1.1,,0.6,0.1,6.2,2024
7204,Day'Ron Sharpe,Bro,C,23.4,50,18.2,,19.8,16.6,74,0.757,272,0.566,45,0.244,0.568,7.9,6.6,,1.8,,0.8,0.8,10,2024
7205,JT Thor,Cle,F,22.6,9,4.7,,24.5,28.1,8,0.875,9,0.667,6,0.5,0.756,3.1,0.7,,0.1,,0.2,0.3,5.1,2024
7206,Justin Champagnie,Was,G-F,23.8,62,21.6,,15.6,11.6,73,0.685,218,0.624,193,0.383,0.614,8.8,5.7,,1,,1,0.6,6.8,2024
7207,Jalen Johnson,Atl,F,23.3,36,35.7,,22.5,16.3,126,0.746,402,0.565,141,0.312,0.568,18.9,10,,5,,1.6,1,11,2024
7208,Keon Johnson,Bro,G,23.1,79,24.4,,21.7,13,139,0.77,378,0.468,401,0.314,0.499,10.6,3.8,,2.2,,1,0.4,7.3,2024
7209,Kessler Edwards,Dal,F,24.7,40,15.2,,11.1,10.6,13,0.923,81,0.556,54,0.407,0.597,4.2,2.9,,1.1,,0.5,0.5,6.3,2024
7210,Corey Kispert,Was,F,26.1,61,26.3,,17.5,10.2,88,0.852,235,0.574,330,0.364,0.584,11.6,3,,1.7,,0.4,0.2,5.9,2024
7211,Davion Mitchell,Tor,G,26.6,44,24.6,,13.1,24.2,37,0.676,127,0.504,117,0.359,0.536,6.3,2,,4.6,,0.7,0.2,6.3,2024
7212,Davion Mitchell,Mia,G,26.6,30,31.6,,14.2,17.7,47,0.702,138,0.543,94,0.447,0.611,10.3,2.7,,5.3,,1.4,0.3,6.7,2024
7213,Austin Reaves,Lal,G,26.9,73,34.9,,23.7,14.6,366,0.877,506,0.547,531,0.377,0.616,20.2,4.5,,5.8,,1.1,0.3,9.3,2024
7214,Cam Thomas,Bro,G,23.5,25,31.2,,32.6,12,151,0.881,259,0.506,195,0.349,0.575,24,3.3,,3.8,,0.6,0.1,8.6,2024
7215,David Duke Jr.,San,G,25.5,6,5.6,,21.4,12.3,2,0.5,8,0.375,6,0.5,0.538,2.7,0.8,,0.7,,0.2,0,8.2,2024
7216,Scottie Barnes,Tor,F-G,23.7,65,32.8,,27,14.8,302,0.755,783,0.508,280,0.271,0.523,19.3,7.7,,5.8,,1.4,1,11.6,2024
7217,Luka Garza,Min,C,26.3,39,5.6,,26.2,10.2,35,0.686,69,0.609,36,0.278,0.573,3.5,1.4,,0.3,,0.2,0.1,8.1,2024
7218,Trendon Watford,Bro,G-F,24.4,44,20.7,,23.3,19.2,122,0.762,262,0.515,88,0.33,0.557,10.2,3.6,,2.6,,0.6,0.3,8.8,2024
7219,Sandro Mamukelashvili,San,F-C,25.9,61,11.2,,20.8,8.5,58,0.741,120,0.675,161,0.373,0.628,6.3,3.1,,0.8,,0.4,0.3,8.9,2024
7220,Sam Hauser,Bos,F,27.3,71,21.7,,14.3,4.6,11,1,75,0.64,399,0.416,0.632,8.5,3.2,,0.9,,0.6,0.2,5.4,2024
7221,Ariel Hukporti,Nyk,C,23,25,8.7,,11.5,40.2,13,0.462,31,0.677,0,0,0.654,1.9,2,,0.4,,0,0.6,5.3,2024
7222,Julian Champagnie,San,F,23.8,82,23.6,,17.2,10,94,0.904,185,0.53,480,0.371,0.577,9.9,3.9,,1.4,,0.7,0.4,6.4,2024
7223,Alperen Sengun,Hou,C,22.7,76,31.5,,26.2,14.5,428,0.692,1053,0.519,90,0.233,0.545,19.1,10.4,,4.9,,1.1,0.8,12.6,2024
7224,Jericho Sims,Nyk,C,26.5,39,10.8,,7.5,31.2,13,0.615,46,0.609,0,0,0.619,1.6,3.3,,0.6,,0.2,0.3,5.4,2024
7225,Jericho Sims,Mil,C,26.5,14,15,,7.7,32.4,0,0,25,0.68,0,0,0.68,2.4,4.9,,0.8,,0.1,0.6,5.6,2024
7226,Josh Giddey,Chi,G,22.5,70,30.2,,21.7,20.2,224,0.781,520,0.512,278,0.378,0.57,14.6,8.1,,7.2,,1.2,0.6,12.6,2024
7227,Santi Aldama,Mem,F-C,24.3,65,25.5,,18.5,9.9,94,0.691,322,0.599,326,0.368,0.588,12.5,6.4,,2.9,,0.8,0.4,9.6,2024
7228,Scotty Pippen Jr.,Mem,G,24.4,79,21.3,,19.4,18.8,171,0.713,375,0.528,220,0.395,0.581,9.9,3.3,,4.4,,1.3,0.4,9.8,2024
7229,Jalen Suggs,Orl,G,23.9,35,28.6,,27.5,17.5,110,0.882,239,0.506,242,0.314,0.536,16.2,4,,3.7,,1.5,0.9,8.7,2024
7230,Jalen Wilson,Bro,F,24.4,79,25.7,,16.6,11.3,165,0.818,258,0.481,362,0.337,0.541,9.5,3.4,,1.8,,0.5,0.1,6,2024
7231,Cade Cunningham,Det,G,23.6,70,35,,33.2,17.5,370,0.846,1039,0.515,418,0.356,0.565,26.1,6.1,,9.1,,1,0.8,12.9,2024
7232,Evan Mobley,Cle,C,23.8,71,30.5,,23.2,13.8,305,0.725,676,0.621,230,0.37,0.633,18.5,9.3,,3.2,,0.9,1.6,10.7,2024
7233,Aaron Wiggins,Okc,G,26.3,76,22.9,,20.3,8.7,89,0.831,389,0.578,339,0.383,0.596,12,3.9,,1.8,,0.8,0.2,7.7,2024
7234,E.J. Liddell,Chi,F,24.3,12,4.4,,14.1,11.5,2,1,5,1,10,0.3,0.661,1.8,0.8,,0.3,,0.1,0,6.9,2024
7235,Gui Santos,Gol,F,22.8,56,13.6,,13.3,19,42,0.69,76,0.632,103,0.33,0.575,4.1,3.1,,1.4,,0.4,0.2,7.7,2024
7236,D.J. Carton,Tor,G,24.7,4,8.4,,14.3,35,1,1,4,0.25,3,0,0.202,0.8,1,,0.8,,0.5,0,4.1,2024
7237,Dalano Banton,Por,F,25.4,67,16.7,,24.1,14.5,125,0.728,285,0.442,222,0.324,0.497,8.3,2,,2.4,,0.6,0.5,8.2,2024
7238,Jose Alvarado,Nor,G,27,56,24.4,,19.8,14.2,74,0.811,212,0.439,309,0.359,0.523,10.3,2.4,,4.6,,1.3,0.3,7.9,2024
7239,A.J. Lawson,Tor,G,24.7,26,18.7,,20,7.3,63,0.683,89,0.528,101,0.327,0.542,9.1,3.3,,1.2,,0.5,0.2,7.1,2024
7240,Jay Huff,Mem,C,27.6,64,11.7,,19.6,10,56,0.786,105,0.724,200,0.405,0.666,6.9,2,,0.6,,0.3,0.9,6.9,2024
7241,Mac McClung,Orl,G,26.3,2,5.1,,8.6,0,0,0,1,0,1,0,0,0,0.5,,1.5,,0,0,0,2024
7242,Stanley Umude,Mil,G,26,22,3.9,,15.7,10.3,4,0.5,11,0.182,15,0.2,0.27,0.7,0.8,,0.2,,0.1,0.3,4.9,2024
7243,Colin Castleton,Mem,C,24.9,10,4.6,,13.9,8.8,11,0.909,6,0.333,4,0,0.472,1.4,0.9,,0,,0.1,0.1,0,2024
7244,Jordan Goodwin,Lal,G,26.5,29,18.7,,14.1,15.3,11,0.818,76,0.487,68,0.382,0.541,5.6,3.9,,1.4,,1,0.4,6.7,2024
7245,Micah Potter,Uta,C,27,38,18.6,,10.3,18.6,20,0.85,37,0.703,98,0.316,0.563,4.3,4.3,,0.8,,0.4,0.4,5.3,2024
7246,Dru Smith,Mia,G,27.3,14,19.2,,13.9,21.7,13,0.769,31,0.484,30,0.533,0.659,6.3,2.6,,1.6,,1.5,0.4,6.2,2024
7247,MarJon Beauchamp,Mil,F,24.5,26,4.7,,23.5,21.5,12,0.75,26,0.423,21,0.333,0.497,2,1.2,,0.3,,0.1,0,7.6,2024
7248,MarJon Beauchamp,Lac,F,24.5,3,5.7,,24.8,12.2,4,0.5,4,0.5,3,0.667,0.685,4,1,,0.7,,0,0,9.9,2024
7249,Dyson Daniels,Atl,G,22.1,76,33.8,,18.2,14.4,140,0.593,688,0.545,235,0.34,0.545,14.1,5.9,,4.4,,3,0.7,8.5,2024
7250,Jaden Hardy,Dal,G,22.8,57,15.9,,25.3,16.5,86,0.698,217,0.479,197,0.386,0.549,8.7,1.6,,1.4,,0.5,0.1,6.8,2024
7251,Scoot Henderson,Por,G,21.2,66,26.7,,22.5,20.5,206,0.767,388,0.469,297,0.354,0.54,12.7,3,,5.1,,1,0.2,8.7,2024
7252,Keaton Wallace,Atl,G,26.1,31,16.2,,16.4,16.9,11,1,80,0.475,82,0.329,0.503,5.4,1.6,,2.6,,0.9,0.3,7,2024
7253,Jaden Ivey,Det,G,23.2,30,29.9,,26,17.7,116,0.733,259,0.49,154,0.409,0.569,17.6,4.1,,4,,0.9,0.4,8.8,2024
7254,Paolo Banchero,Orl,F,22.4,46,34.4,,33.6,13,385,0.727,639,0.509,272,0.32,0.551,25.9,7.5,,4.8,,0.8,0.6,11.4,2024
7255,Jabari Smith Jr.,Hou,F,21.9,57,30.1,,16.4,9.9,126,0.825,289,0.519,277,0.354,0.562,12.2,7,,1.1,,0.4,0.7,6,2024
7256,Chet Holmgren,Okc,C-F,23,32,27.4,,22.1,14.1,134,0.754,225,0.547,116,0.379,0.599,15,8,,2,,0.7,2.2,9.1,2024
7257,Bennedict Mathurin,Ind,G-F,22.8,72,29.9,,22.8,13.7,332,0.831,565,0.519,288,0.34,0.579,16.1,5.3,,1.9,,0.7,0.3,7.3,2024
7258,Johnny Davis,Was,G,23.1,34,7.1,,15.9,8.2,15,0.6,49,0.51,29,0.241,0.473,2.4,1.1,,0.3,,0.4,0.2,5.2,2024
7259,Keegan Murray,Sac,F,24.7,76,34.3,,15,6.8,72,0.833,371,0.566,449,0.343,0.553,12.4,6.7,,1.4,,0.8,0.9,5.7,2024
7260,Shaedon Sharpe,Por,G,21.9,72,31.3,,25.1,12,242,0.785,632,0.557,472,0.311,0.551,18.5,4.5,,2.8,,0.9,0.2,7.9,2024
7261,TyTy Washington Jr.,Pho,G,23.4,16,7.4,,18.9,6.2,6,0.5,24,0.417,21,0.19,0.367,2.2,0.8,,1,,0.2,0,6.5,2024
7262,Malaki Branham,San,F,21.9,47,9.1,,23.8,15.2,33,0.818,106,0.5,84,0.405,0.575,5,1.1,,0.8,,0.2,0,7.2,2024
7263,Blake Wesley,San,G,22.1,58,11.8,,16.6,22.5,61,0.623,128,0.5,58,0.293,0.51,3.7,1.1,,2,,0.6,0.1,6.8,2024
7264,Jalen Duren,Det,C,21.4,78,26.1,,16.3,19.9,242,0.669,546,0.692,0,0,0.703,11.8,10.3,,2.7,,0.7,1.1,10.6,2024
7265,Tari Eason,Hou,F,23.9,57,24.9,,19.4,10.4,104,0.76,375,0.557,184,0.342,0.567,12,6.4,,1.5,,1.7,0.9,7.8,2024
7266,Nikola Jovic,Mia,F,21.8,46,25.1,,18.3,13.7,87,0.828,168,0.56,210,0.371,0.593,10.7,3.9,,2.8,,0.8,0.3,7.8,2024
7267,Max Christie,Lal,G,22.2,46,25.1,,13.9,11.9,87,0.851,125,0.544,163,0.368,0.598,8.5,2.7,,1.4,,0.8,0.5,5.1,2024
7268,Max Christie,Dal,G,22.2,32,30.4,,16.8,13.9,65,0.862,151,0.457,151,0.364,0.543,11.2,4.2,,2.5,,0.9,0.3,6.4,2024
7269,Mark Williams,Cha,C,23.3,44,26.6,,21.4,13.7,163,0.804,443,0.609,4,0,0.647,15.3,10.2,,2.5,,0.7,1.2,11,2024
7270,Jeremy Sochan,San,F,21.9,54,25.3,,18.9,15,125,0.696,377,0.592,92,0.304,0.589,11.4,6.5,,2.4,,0.8,0.5,8.9,2024
7271,Wendell Moore Jr.,Det,G,23.6,20,10.9,,12.6,15.1,14,0.929,36,0.528,14,0.286,0.561,3.2,2.2,,1.2,,0.5,0.2,7.5,2024
7272,Wendell Moore Jr.,Cha,G,23.6,16,17.5,,14.8,19.1,8,0.625,49,0.531,27,0.37,0.547,5.4,3.2,,1.2,,0.6,0.1,6.3,2024
7273,Jalen Williams,Okc,G-F,24,69,32.4,,27.5,11.4,299,0.789,828,0.533,340,0.365,0.573,21.6,5.3,,5.2,,1.6,0.7,10.4,2024
7274,Orlando Robinson,Sac,C,24.8,9,6.3,,18.1,18.8,7,0.571,12,0.5,5,0.2,0.473,2.1,1.6,,1,,0.3,0.1,9.5,2024
7275,Orlando Robinson,Tor,C,24.8,35,20.4,,18.6,15.6,63,0.794,197,0.472,47,0.34,0.523,8.1,5.9,,1.9,,0.4,0.4,8.8,2024
7276,Patrick Baldwin Jr.,Was,F,22.4,22,4.6,,16.6,13.1,4,0.5,12,0.5,21,0.524,0.676,2.1,1,,0.1,,0.1,0.1,5.2,2024
7277,Walker Kessler,Uta,C,23.7,58,30,,13.7,17,152,0.52,385,0.706,35,0.171,0.658,11.1,12.2,,1.7,,0.6,2.4,8.2,2024
7278,Jaylin Williams,Okc,F,22.8,47,16.7,,14.6,13.7,30,0.767,68,0.529,153,0.399,0.594,5.9,5.6,,2.6,,0.5,0.6,10.6,2024
7279,JD Davison,Bos,G,22.5,16,5.8,,23.6,27.5,7,0.714,16,0.5,18,0.222,0.445,2.1,0.8,,0.8,,0.3,0.1,7.6,2024
7280,Bryce McGowens,Por,G,22.4,13,2.5,,26.8,21.8,6,0.833,10,0.4,4,0,0.391,1,0.2,,0.2,,0.1,0,5.5,2024
7281,Julian Strawther,Den,G,23,65,21.3,,17.9,10.5,90,0.822,217,0.535,269,0.349,0.559,9,2.2,,1.3,,0.6,0.2,5.5,2024
7282,Harrison Ingram,San,F,22.4,5,6.9,,6.2,20,0,0,3,0.667,1,0,0.5,0.8,1.8,,0.6,,0.6,0,5.5,2024
7283,Christian Braun,Den,G,24,79,33.9,,15.8,9,214,0.827,596,0.649,225,0.396,0.665,15.4,5.2,,2.6,,1.1,0.5,7,2024
7284,Oscar Tshiebwe,Uta,F-C,25.4,14,18.2,,15.3,12.4,31,0.742,70,0.6,0,0,0.64,7.6,8.7,,0.6,,0.9,0.1,7.5,2024
7285,Christian Koloko,Lal,C,24.8,37,9.2,,10.8,15.3,14,0.714,62,0.645,4,0,0.624,2.4,2.5,,0.4,,0.2,0.4,5.8,2024
7286,Jabari Walker,Por,F,22.7,60,12.5,,16.3,12.9,71,0.69,157,0.573,72,0.389,0.601,5.2,3.5,,0.6,,0.6,0.1,7.1,2024
7287,Ryan Rollins,Mil,G,22.8,56,14.6,,18.4,16.3,45,0.8,151,0.55,120,0.408,0.6,6.2,1.9,,1.9,,0.8,0.3,7.7,2024
7288,Leonard Miller,Min,F,21.4,13,2.4,,28.1,11.5,8,1,10,0.6,5,0,0.54,1.5,0.8,,0,,0.2,0.1,0,2024
7289,Keon Ellis,Sac,G,25.3,80,24.4,,12.7,13.3,86,0.849,143,0.615,321,0.433,0.664,8.3,2.7,,1.5,,1.5,0.8,5.3,2024
7290,Josh Minott,Min,F,22.4,46,6,,17.1,10.8,19,0.895,47,0.638,43,0.326,0.605,2.6,1,,0.4,,0.3,0.3,6.8,2024
7291,Jaime Jaquez Jr.,Mia,G,24.2,66,20.7,,20.2,17.5,142,0.754,343,0.513,119,0.311,0.543,8.6,4.4,,2.5,,0.9,0.2,8.8,2024
7292,Ousmane Dieng,Okc,F,21.9,37,10.9,,15.7,12.6,16,0.688,54,0.574,71,0.324,0.538,3.8,2.2,,0.8,,0.5,0.2,6.9,2024
7293,Jared Rhoden,Cha,G,25.6,4,2.9,,32.7,11.1,0,0,6,0.333,2,0,0.25,1,1,,0.5,,0.3,0,10.9,2024
7294,Jared Rhoden,Tor,G,25.6,10,21.5,,19.1,9.2,25,0.88,42,0.667,37,0.324,0.633,11.4,3.8,,1.4,,0.9,0.2,7.3,2024
7295,Kris Murray,Por,F,24.7,69,15.1,,13.8,13.1,57,0.456,159,0.566,120,0.225,0.472,4.2,2.6,,1,,0.5,0.2,5.9,2024
7296,Marcus Sasser,Det,G,24.6,57,14.2,,19.4,15.4,51,0.843,144,0.549,152,0.382,0.589,6.6,1.2,,2.3,,0.6,0.1,7.4,2024
7297,Dalen Terry,Chi,F,22.8,73,13.5,,14.9,16.5,69,0.71,164,0.506,104,0.356,0.546,4.5,1.7,,1.3,,0.6,0.2,6.4,2024
7298,Isaiah Wong,Cha,G,24.2,20,13.3,,22.1,14.6,34,0.735,72,0.389,33,0.394,0.5,6,1.6,,1.4,,0.6,0,7.2,2024
7299,Jacob Toppin,Nyk,F,24.9,16,3,,10.7,16.7,0,0,8,0.375,2,0,0.3,0.4,0.7,,0.3,,0.1,0,5.8,2024
7300,Peyton Watson,Den,G,22.6,68,24.4,,13.9,11.6,137,0.693,292,0.534,136,0.353,0.564,8.1,3.4,,1.4,,0.7,1.4,5.5,2024
7301,Tyrese Martin,Bro,F,26.1,60,21.9,,18.8,13.7,58,0.793,183,0.492,282,0.351,0.533,8.7,3.7,,2,,0.6,0.2,7.3,2024
7302,Alondes Williams,Det,G,25.8,1,3.7,,22.8,0,0,0,1,1,1,1,1.25,5,0,,1,,0,0,0,2024
7303,Caleb Houstan,Orl,G,22.3,58,13.6,,11.7,6.4,17,0.882,30,0.533,160,0.4,0.605,4.1,1.3,,0.6,,0.4,0.1,4.3,2024
7304,Moussa Diabate,Cha,F,23.2,71,17.5,,13.4,17.9,116,0.595,274,0.609,6,0,0.609,5.7,6.2,,0.8,,0.6,0.6,7,2024
7305,Trayce Jackson-Davis,Gol,F,25.1,62,15.6,,17.1,13,102,0.578,299,0.582,3,0,0.587,6.6,5,,1.7,,0.4,0.6,9.8,2024
7306,Collin Gillespie,Pho,G,25.8,33,14,,17.7,9.7,22,0.864,68,0.426,90,0.433,0.578,5.9,2.4,,2.4,,0.6,0.2,9.3,2024
7307,Jake LaRavia,Mem,F,23.4,47,20.9,,14.5,22.2,96,0.698,151,0.517,90,0.444,0.605,7.3,4.4,,2.8,,0.9,0.4,8.6,2024
7308,Jake LaRavia,Sac,F,23.4,19,19.3,,14.2,15,19,0.579,44,0.5,52,0.385,0.551,6.1,2.8,,1.3,,0.9,0.2,5.8,2024
7309,David Roddy,Atl,F,24,27,12.8,,14.5,17.6,22,0.818,50,0.56,43,0.372,0.594,4.5,2.6,,1.1,,0.4,0.3,7.3,2024
7310,David Roddy,Phi,F,24,3,9.5,,30.4,5,0,0,8,0.75,11,0.182,0.474,6,3,,1,,0.7,0,11,2024
7311,Dominick Barlow,Atl,F,21.9,35,10.7,,14.5,4.2,33,0.636,86,0.616,27,0.259,0.58,4.2,2.4,,0.5,,0.3,0.5,6.4,2024
7312,Keion Brooks Jr.,Nor,F,24.7,14,23.7,,17.1,9.9,30,0.733,66,0.591,43,0.326,0.581,10.1,4.1,,0.9,,0.7,0.7,5.6,2024
7313,Mouhamed Gueye,Atl,F,22.4,33,16.1,,15.7,8.1,42,0.762,90,0.567,81,0.259,0.52,6,4.2,,0.8,,0.8,1,6.8,2024
7314,Quenton Jackson,Ind,G,26.6,28,13.6,,17.6,11.6,40,0.775,82,0.524,40,0.375,0.58,5.8,1.6,,1.9,,0.8,0.2,7.7,2024
7315,Vince Williams Jr.,Mem,G,24.6,27,18.5,,17,16.5,24,0.792,72,0.569,95,0.274,0.504,6.6,3.6,,2,,0.4,0.3,7.8,2024
7316,Luke Travers,Cle,F,23.6,12,7.3,,13.9,28.1,2,1,11,0.455,9,0,0.287,1,1.7,,0.7,,0.1,0.1,5.8,2024
7317,Baylor Scheierman,Bos,G,24.5,31,12.4,,14.5,9.8,12,0.75,28,0.464,82,0.317,0.49,3.6,2.1,,1.1,,0.5,0.1,6.5,2024
7318,Pete Nance,Phi,F,25.1,7,9.8,,10.1,0,2,0.5,3,0.333,12,0.333,0.472,2.1,1.4,,0.4,,0.1,0,4.3,2024
7319,Karlo Matkovic,Nor,F-C,24,42,18.8,,15.9,15.4,44,0.773,169,0.675,66,0.318,0.639,7.7,5,,1.1,,0.5,1,7.4,2024
7320,A.J. Green,Mil,G,25.5,73,22.7,,12.6,8.6,27,0.815,61,0.443,363,0.427,0.621,7.4,2.4,,1.5,,0.5,0.1,5.3,2024
7321,Jamal Cain,Nor,F,26.1,37,13.6,,17,12.2,50,0.68,78,0.538,80,0.325,0.544,5.3,2.3,,0.6,,0.6,0.2,5.7,2024
7322,Justin Minaya,Por,F,26.1,19,5.3,,11.1,19.2,2,0,11,0.545,10,0.2,0.411,0.9,0.5,,0.4,,0.3,0.1,4.3,2024
7323,Cole Swider,Det,F,25.9,2,6.6,,16.1,0,0,0,0,0,5,0,0,0,1,,0.5,,0,0,0,2024
7324,Lester Quinones,Phi,G,24.4,4,4.3,,31.9,32.2,1,1,5,0.8,3,0,0.533,2.3,1,,0.3,,0,0,8.2,2024
7325,Sidy Cissoko,San,G,21,17,3.2,,17.7,10,6,0.167,11,0.545,7,0.429,0.533,1.3,0.6,,0.4,,0.1,0,8.5,2024
7326,Simone Fontecchio,Det,F,29.3,75,16.5,,15.8,12.6,84,0.833,146,0.507,227,0.335,0.544,5.9,2.9,,0.9,,0.4,0.2,6,2024
7327,Daeqwon Plowden,Atl,G-F,26.6,6,11.9,,17.1,13.6,2,1,8,0.875,17,0.529,0.831,7.2,1.8,,0.3,,0,0,5.3,2024
7328,Taze Moore,Por,G,26.8,2,10,,26.9,16.4,2,0.5,6,0.167,4,0.25,0.276,3,4,,0.5,,1,0,7.3,2024
7329,Nate Williams,Hou,G,26.2,20,7.3,,22.3,18.4,8,0.625,36,0.583,26,0.231,0.496,3.3,0.7,,0.5,,0.4,0.2,5.7,2024
