,NAME,TEAM,POS,AGE,GP,MPG,MP%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,Year
82,Cole Aldrich,Min,C,28,62,8.6,17.8,9.4,0.151,22,0.682,86,0.523,0,0,0.549,1.7,2.5,17.3,0.4,6.4,0.4,0.37,5.6,2016
83,Corey Brewer,Hou,SF,30,58,15.9,33.2,12.9,0.127,44,0.727,133,0.541,94,0.234,0.491,4.2,2,6.7,1.1,9,0.64,0.21,5.3,2016
84,Corey Brewer,Lal,SF,30,24,14.9,31.1,18,0.126,24,0.75,97,0.495,24,0.208,0.49,5.4,2.2,7.9,1.5,15,0.96,0.33,7,2016
85,Cory Joseph,Tor,SG,25,80,25,52.2,18.4,0.131,122,0.77,526,0.477,135,0.356,0.518,9.3,2.9,6.6,3.3,20,0.84,0.15,7.1,2016
86,Courtney Lee,Nyk,SG,31,77,31.9,66.5,14.4,0.085,98,0.867,435,0.49,269,0.401,0.559,10.8,3.4,5.7,2.3,10.6,1.05,0.31,5.5,2016
87,Cristiano Felicio,Chi,C,24,66,15.8,32.8,12.4,0.112,93,0.645,221,0.579,0,0,0.603,4.8,4.7,16.1,0.6,5.7,0.38,0.26,6,2016
88,D.J. Augustin,Orl,PG,29,78,19.7,41.1,19.4,0.133,161,0.814,243,0.412,274,0.347,0.524,7.9,1.5,4.1,2.7,20.4,0.4,0.01,6.4,2016
89,Damian Jones,Gol,C,21,10,8.5,17.7,13.4,0.227,10,0.3,16,0.5,0,0,0.466,1.9,2.3,14.8,0,0,0.1,0.4,0,2016
90,Damian Lillard,Por,PG,26,75,35.9,74.8,31.5,0.102,545,0.895,909,0.492,579,0.37,0.586,27,4.9,7.6,5.9,28.7,0.91,0.25,10.3,2016
91,Damjan Rudez,Orl,SF,30,45,7,14.5,13.6,0.093,0,0,24,0.458,64,0.313,0.466,1.8,0.6,4.3,0.4,9.2,0.27,0.02,4.3,2016
92,D’Angelo Russell,Lal,PG,20,63,28.7,59.9,26.5,0.156,188,0.782,482,0.448,384,0.352,0.519,15.6,3.5,6.7,4.8,26.8,1.38,0.25,8.9,2016
93,Danilo Gallinari,Den,SF,28,63,33.9,70.6,20,0.082,387,0.902,426,0.491,324,0.389,0.622,18.2,5.1,8.4,2.1,9.1,0.65,0.24,6.8,2016
94,Danny Green,San,SG,29,68,26.6,55.4,13.5,0.141,32,0.844,138,0.42,311,0.379,0.537,7.3,3.3,7,1.8,9.6,1.03,0.84,5.3,2016
95,Dante Cunningham,Nor,SF,29,66,25,52,10.7,0.07,27,0.593,178,0.579,181,0.392,0.586,6.6,4.2,8.8,0.5,3.1,0.59,0.42,3.8,2016
96,Dante Exum,Uta,PG,21,66,18.6,38.8,18.1,0.168,73,0.795,214,0.519,149,0.295,0.521,6.2,2,6.2,1.7,14,0.32,0.18,5.9,2016
